,Core_Only,Alpha_Always_Only,Core90_Alpha10,Core85_Alpha15,Core80_Alpha20,Core90_AlphaRegime10,Core85_AlphaRegime15,SPY,QQQ,VT,TOPIX
2019-01-01,0.9862497825342837,1.0,0.9876248042808554,0.9883123151541412,0.9889998260274271,0.9876248042808554,0.9883123151541412,0.9888882959682409,0.9989751059303159,0.9838232735697456,0.997851659491851
2019-01-02,0.9833651226326541,1.0,0.9850249907761073,0.9858552264806074,0.9866856632736232,0.9850249907761073,0.9858552264806074,0.9947652921861145,1.001623735850027,0.9804295560384165,0.9774074623363447
2019-01-03,0.9769518183507317,1.0,0.9792432741368093,0.9803901138893104,0.9815376951437443,0.9792432741368093,0.9803901138893104,0.9863759121655336,1.0081577610661905,0.9728844921773314,0.9909560702917225
2019-01-04,0.9983008444596643,1.0,0.9985024646623489,0.9986006516900815,0.9986970870293346,0.9985024646623489,0.9986006516900815,0.9847516183593872,1.0076507610538763,0.9980009934819579,1.0009900811195465
2019-01-07,0.991522877065647,1.0,0.9924010619967112,0.9928376491941818,0.9932725608817693,0.9924010619967112,0.9928376491941818,0.9872932698569684,0.9973904197660903,0.9900269141948789,1.0151529684103608
2019-01-08,1.0034643045345575,1.0,1.0031578655142228,1.0030013218566234,1.002842560741162,1.0031578655142228,1.0030013218566234,0.9979075505643722,0.9988351381976571,1.0040756523935972,1.0319588735241236
2019-01-09,1.0157204900960528,1.0,1.0141850639930234,1.0134142729940148,1.0126414340705803,1.0141850639930234,1.0134142729940148,1.0105649609013914,1.007315213347597,1.0184946942306503,1.0346220246938556
2019-01-10,1.0278567063724922,1.0,1.025091147370165,1.0237066346007935,1.0223209753020088,1.025091147370165,1.0237066346007935,1.0198008586970475,0.9917353482399298,1.0327725957323437,1.0381629963846857
2019-01-11,1.021840826200211,1.0,1.0196914229503982,1.0186137827022026,1.017534190959875,1.0196914229503982,1.0186137827022026,1.0329604940679906,0.9765331577135853,1.0256950896473072,1.0510847240494876
2019-01-14,1.0411525477696377,1.0,1.0370354130393233,1.0349769064548062,1.0329184554984217,1.0370354130393233,1.0349769064548062,1.0257310497461278,0.969201142796637,1.0484147620819269,1.0361709629504388
2019-01-15,1.063160627755922,1.0,1.0567643591297917,1.0535728138475393,1.0503856764443753,1.0567643591297917,1.0535728138475393,1.0341306567172261,0.9673633805964932,1.0743066208893202,1.0320967974994713
2019-01-16,1.067421661541283,1.0,1.0605762175337563,1.0571620296746205,1.0537535429647418,1.0605762175337563,1.0571620296746205,1.0302900859118829,0.9425804105295265,1.0793196018132742,1.031661461212992
2019-01-17,1.0625404446603972,1.0,1.0562112955439635,1.0530528741915062,1.0498985718562965,1.0562112955439635,1.0530528741915062,1.042941545490085,0.9494855516748125,1.0735769937181145,1.043440909714166
2019-01-18,1.0533902654332064,1.0,1.0480251879617815,1.0453446695810036,1.0426655219324963,1.0480251879617815,1.0453446695810036,1.0447754899194526,0.9477966072454184,1.062812076980243,1.0370192860802268
2019-01-21,1.058746118217235,1.0,1.0528209051089603,1.049862373504403,1.046906581089166,1.0528209051089603,1.049862373504403,1.0529704500590287,0.9218077895047976,1.0691130802555708,1.0284931153455545
2019-01-22,1.0596815423238564,1.0,1.0536580752613542,1.0506508123685707,1.0476465519936018,1.0536580752613542,1.0506508123685707,1.057050917162762,0.9099491407400069,1.0702135792045369,1.0234846482042326
2019-01-23,1.0619062296430553,1.0,1.0556489127900504,1.0525256814013446,1.0494060889156938,1.0556489127900504,1.0525256814013446,1.067134923947684,0.9070446699323429,1.0728308584035946,1.0295673751449022
2019-01-24,1.047499669316182,1.0,1.0427594105068798,1.0403882787228422,1.038016509154073,1.0427594105068798,1.0403882787228422,1.0572334987000105,0.8883193005041827,1.0558819639013908,1.0290225597610212
2019-01-25,1.0480791039963062,1.0,1.04327854181055,1.0408774545260175,1.0384758603359883,1.04327854181055,1.0408774545260175,1.0378617796085905,0.8990932768732403,1.0565636517603603,1.011556832494651
2019-01-28,1.0607189450478611,1.0,1.0546022934258925,1.0515474952699002,1.048495081030666,1.0546022934258925,1.0515474952699002,1.0506407637820494,0.9014808341165541,1.0714340529974837,0.9967429556131384
2019-01-29,1.069901457374144,1.0,1.0628188985346523,1.059285144059674,1.0557564345121402,1.0628188985346523,1.059285144059674,1.0681307534108768,0.909219970273405,1.0822370086754638,0.9986677735595154
2019-01-30,1.065570244854437,1.0,1.0589466119432018,1.0556401441493286,1.0523372743976054,1.0589466119432018,1.0556401441493286,1.067040988426709,0.8984300115772647,1.077141464534632,1.0009962118533986
2019-01-31,1.0646016262040094,1.0,1.0580802740374846,1.054824490909952,1.0515720026453628,1.0580802740374846,1.054824490909952,1.0778761702915354,0.9032463073540296,1.0760019131811878,1.0016180433863928
2019-02-01,1.0488521590461213,1.0,1.0439925814165338,1.0415603883782525,1.0391266346788524,1.0439925814165338,1.0415603883782525,1.0573976782332992,0.8964814147070502,1.0574731282895546,0.9962651833703746
2019-02-04,1.0419281181714135,1.0,1.0377898172615985,1.0357158700213553,1.0336387647399223,1.0377898172615985,1.0357158700213553,1.049928842030523,0.8947800526969174,1.049327197848722,1.0060179967813354
2019-02-05,1.038518264407253,1.0,1.0347331377193412,1.0328347751963471,1.0309325841723675,1.0347331377193412,1.0328347751963471,1.0513508362834703,0.8989450395047346,1.0453156051850037,1.0107753686187746
