date,ticker,market,variant,base_score,residual_score,final_score,residual_weight,base_weight,stock_return_3m,stock_return_6m,stock_return_12m,benchmark_return_3m,benchmark_return_6m,benchmark_return_12m,residual_return_3m,residual_return_6m,residual_return_12m,benchmark_used,residual_method,selected_flag,weight
2019-03-29,US3,US,Baseline,1.0,1.0,1.0,0.0,1.0,-0.09965104748495468,-0.022217507582465212,0.3740394337436117,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.23518632139647402,,,SPY,simple,True,0.08209042023418014
2019-03-29,US7,US,Baseline,0.875,0.875,0.875,0.0,1.0,0.037100968468310125,0.05605011578081087,0.21072244601706847,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.20240903797983859,,,SPY,simple,True,0.08053855128887871
2019-03-29,US6,US,Baseline,0.75,0.5,0.75,0.0,1.0,-0.020347656855118523,-0.01592593129611397,0.11394548065744603,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.12045376872048097,,,SPY,simple,True,0.0808839694763822
2019-03-29,US4,US,Baseline,0.625,0.625,0.625,0.0,1.0,-0.012446737105199168,-0.09487848332945648,0.2080070323067491,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.1424838471590049,,,SPY,simple,True,0.08419205787771707
2019-03-29,US0,US,Baseline,0.5,0.75,0.5,0.0,1.0,0.1596990738681816,0.0890847456007493,0.03007220140131106,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.14352847651191794,,,SPY,simple,True,0.0838839626296697
2019-03-29,US1,US,Baseline,0.375,0.375,0.375,0.0,1.0,-0.09627588422363598,0.09263198696465635,0.05281205679537293,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.11341832498161496,,,SPY,simple,True,0.07636883513810812
2019-03-29,JP3.T,JP,Baseline,1.0,0.875,1.0,0.0,1.0,0.14729372446820133,0.2092289862694976,0.5771952591396889,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.24500270608311958,,,1306.T,simple,True,0.09164077915136473
2019-03-29,JP0.T,JP,Baseline,0.875,1.0,0.875,0.0,1.0,0.2256054630788502,0.417231317652379,0.7698759619511526,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.42372912438492,,,1306.T,simple,True,0.08305060707195829
2019-03-29,JP5.T,JP,Baseline,0.75,0.25,0.75,0.0,1.0,-0.035631340069168016,0.054720704753499216,0.16296395942189057,0.08166382145340578,0.16465156846704265,0.13878475984668492,-0.044103215037340625,,,1306.T,simple,True,0.08686690913594843
2019-03-29,JP4.T,JP,Baseline,0.625,0.625,0.625,0.0,1.0,0.2937840170359771,0.20583321194289184,0.19580216673579054,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.07758928386693109,,,1306.T,simple,True,0.08234026906836142
2019-03-29,JP1.T,JP,Baseline,0.5,0.5,0.5,0.0,1.0,-0.06066956433853943,0.08512921247103389,0.21657485335771653,0.08166382145340578,0.16465156846704265,0.13878475984668492,-0.011334636208477985,,,1306.T,simple,True,0.07854660727557432
2019-03-29,JP7.T,JP,Baseline,0.375,0.375,0.375,0.0,1.0,-0.0420709501279809,0.11986524574910296,0.12314394998930611,0.08166382145340578,0.16465156846704265,0.13878475984668492,-0.04337164109823375,,,1306.T,simple,True,0.08959703165185696
2019-06-28,US0,US,Baseline,1.0,1.0,1.0,0.0,1.0,0.028247348245071358,0.18101370428467023,0.14210021516184446,-0.058741177986801785,-0.06494826427095213,-0.09690043079543664,0.21598573353582684,,,SPY,simple,True,0.08025376921236066
2019-06-28,US3,US,Baseline,0.875,0.5,0.875,0.0,1.0,-0.0696223699390558,-0.157063832208452,0.12904182482951443,-0.058741177986801785,-0.06494826427095213,-0.09690043079543664,0.08045240650793324,,,SPY,simple,True,0.08644894489785104
2019-06-28,US6,US,Baseline,0.75,0.625,0.75,0.0,1.0,-0.009499238438174906,-0.00019689109921317005,0.06294164167642369,-0.058741177986801785,-0.06494826427095213,-0.09690043079543664,0.10971181721794764,,,SPY,simple,True,0.07994069838910291
2019-06-28,US4,US,Baseline,0.625,0.875,0.625,0.0,1.0,0.11616441929870058,0.08960667239654252,0.1567820230216428,-0.058741177986801785,-0.06494826427095213,-0.09690043079543664,0.20751047201195502,,,SPY,simple,True,0.08432571277041508
2019-06-28,US7,US,Baseline,0.5,0.25,0.5,0.0,1.0,-0.095850917352299,-0.06771713749563824,-0.07005655368166719,-0.058741177986801785,-0.06494826427095213,-0.09690043079543664,0.006314024254406488,,,SPY,simple,True,0.08714502810714891
2019-06-28,US5,US,Baseline,0.375,0.75,0.375,0.0,1.0,0.03341394607493764,-0.09467716186607866,0.1527783459620875,-0.058741177986801785,-0.06494826427095213,-0.09690043079543664,0.13028894319067647,,,SPY,simple,True,0.08151802360486787
2019-06-28,JP0.T,JP,Baseline,1.0,1.0,1.0,0.0,1.0,0.009057078333009727,0.2759215192702136,0.8047558623366307,0.06829592544482388,0.11633383719747825,0.1678324999709091,0.3617844340218035,,,1306.T,simple,True,0.08230085462533232
