Variant,CAGR,Annualized_Volatility,Max_Drawdown,Sharpe,Calmar,Sortino,Total_Return,Best_Year,Worst_Year,Monthly_Win_Rate,Turnover,Number_of_Rebalances,Judgment
Baseline,0.09785209721753807,0.05436306574635785,-0.05213014224603307,1.7999738586136276,1.8770732823961225,2.9967439802183606,0.33701530333979934,0.10529450667467177,0.09619153940648228,0.5833333333333334,0.15257894770596045,12,baseline
Residual_05,0.09785209721753807,0.05436306574635785,-0.05213014224603307,1.7999738586136276,1.8770732823961225,2.9967439802183606,0.33701530333979934,0.10529450667467177,0.09619153940648228,0.5833333333333334,0.15257894770596045,12,no improvement
Residual_10,0.09785209721753807,0.05436306574635785,-0.05213014224603307,1.7999738586136276,1.8770732823961225,2.9967439802183606,0.33701530333979934,0.10529450667467177,0.09619153940648228,0.5833333333333334,0.15257894770596045,12,no improvement
Residual_15,0.09552099941894032,0.054425384724128986,-0.05213014224603296,1.755081749134462,1.8323563931232003,2.938941278100523,0.3282028901062841,0.10349894123909475,0.09619153940648228,0.5833333333333334,0.1587001490452478,12,worse
Residual_20,0.0927470126120058,0.05470845472179796,-0.05213014224603307,1.695295783506234,1.7791436703601846,2.8270058665543734,0.3177676514254739,0.10349894123909475,0.08757913505259807,0.5833333333333334,0.15847935983348563,12,worse
Residual_25,0.09079083816105271,0.05464914602813372,-0.05213014224603252,1.6613404739081015,1.7416188456298056,2.7730136282938647,0.3104424183750998,0.09800939040620271,0.08757913505259807,0.5833333333333334,0.15842374876124327,12,worse
Residual_30,0.08923541556670189,0.05478187165394593,-0.05213014224603296,1.628922358301248,1.7117815475267113,2.7429126514208013,0.30463762789534754,0.09800939040620271,0.08276154908269673,0.5555555555555556,0.16527536461960976,12,worse
Residual_35,0.08552470182788996,0.05411450102451891,-0.05213014224603252,1.580439627247774,1.6405998169782283,2.6436042162236775,0.2908598693092701,0.09736478935983728,0.08276154908269673,0.5833333333333334,0.192355295746606,12,worse
Residual_40,0.08552470182788996,0.05411450102451891,-0.05213014224603252,1.580439627247774,1.6405998169782283,2.6436042162236775,0.2908598693092701,0.09736478935983728,0.08276154908269673,0.5833333333333334,0.192355295746606,12,worse
Residual_45,0.08660125479525682,0.05442968050765019,-0.04416491926737087,1.5910667486480077,1.9608607064575343,2.659069843719196,0.2948468568214968,0.09736478935983728,0.08276154908269673,0.5833333333333334,0.1796495066604544,12,clear improvement
Residual_50,0.08660125479525682,0.05442968050765019,-0.04416491926737087,1.5910667486480077,1.9608607064575343,2.659069843719196,0.2948468568214968,0.09736478935983728,0.08276154908269673,0.5833333333333334,0.1796495066604544,12,clear improvement
Residual_55,0.0978969622775625,0.053776599753941445,-0.04000049814937501,1.820437936304951,2.447393577749534,3.047093154748368,0.3371852979105563,0.12265622706079538,0.09090880806177193,0.6111111111111112,0.17997148859645296,12,clear improvement
Residual_60,0.0978969622775625,0.053776599753941445,-0.04000049814937501,1.820437936304951,2.447393577749534,3.047093154748368,0.3371852979105563,0.12265622706079538,0.09090880806177193,0.6111111111111112,0.17997148859645296,12,clear improvement
Residual_65,0.10945306339482674,0.0540926399681462,-0.04000049814937501,2.023437263540491,2.7362925078106035,3.41206380196796,0.38146187748736793,0.1598293681748446,0.09090880806177193,0.6388888888888888,0.17336965781558958,12,clear improvement
Residual_70,0.113923828997061,0.05434328687780848,-0.03291964070000908,2.096373545700687,3.460664411110343,3.5396331405717447,0.3988548385933812,0.1691617555740088,0.09090880806177193,0.6388888888888888,0.16651673639889752,12,clear improvement
Residual_75,0.113923828997061,0.05434328687780848,-0.03291964070000908,2.096373545700687,3.460664411110343,3.5396331405717447,0.3988548385933812,0.1691617555740088,0.09090880806177193,0.6388888888888888,0.16651673639889752,12,clear improvement
Residual_80,0.10348462660425262,0.054427818673874945,-0.0362322576635542,1.9013186478098685,2.8561462430851265,3.098059737133683,0.3584719358991675,0.16916175557400925,0.06708221100291456,0.6111111111111112,0.1809922068224199,12,clear improvement
Residual_85,0.10348462660425262,0.054427818673874945,-0.0362322576635542,1.9013186478098685,2.8561462430851265,3.098059737133683,0.3584719358991675,0.16916175557400925,0.06708221100291456,0.6111111111111112,0.1809922068224199,12,clear improvement
Residual_90,0.10007943737315728,0.054608634272400064,-0.03623225766355387,1.8326669162597748,2.762163989406254,3.0306799336495867,0.3454724598516159,0.16916175557400925,0.06708221100291456,0.6111111111111112,0.1880037561493354,12,clear improvement
Residual_95,0.10007943737315728,0.054608634272400064,-0.03623225766355387,1.8326669162597748,2.762163989406254,3.0306799336495867,0.3454724598516159,0.16916175557400925,0.06708221100291456,0.6111111111111112,0.1880037561493354,12,clear improvement
Residual_100,0.10007943737315728,0.054608634272400064,-0.03623225766355387,1.8326669162597748,2.762163989406254,3.0306799336495867,0.3454724598516159,0.16916175557400925,0.06708221100291456,0.6111111111111112,0.1880037561493354,12,clear improvement
