rebalance_date,variant,change_type,ticker,selected_tickers,added_tickers,removed_tickers,date,market,total_holdings,us_holdings,jp_holdings,base_score,residual_score,final_score,residual_weight,base_weight,stock_return_3m,stock_return_6m,stock_return_12m,benchmark_return_3m,benchmark_return_6m,benchmark_return_12m,residual_return_3m,residual_return_6m,residual_return_12m,benchmark_used,residual_method,selected_flag,weight
2019-03-29,Residual_100_N12,added,JP0.T,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,JP,12,6,6,0.875,1.0,1.0,1.0,0.0,0.2256054630788502,0.417231317652379,0.7698759619511526,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.14394164162544443,0.2525797491853363,0.6310912021044677,1306.T,simple,True,0.08404486570856078
2019-03-29,Residual_100_N12,added,JP1.T,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,JP,12,6,6,0.5,0.5,0.5,1.0,0.0,-0.06066956433853943,0.08512921247103389,0.21657485335771653,0.08166382145340578,0.16465156846704265,0.13878475984668492,-0.1423333857919452,-0.07952235599600876,0.07779009351103161,1306.T,simple,True,0.07948694528649214
2019-03-29,Residual_100_N12,added,JP3.T,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,JP,12,6,6,1.0,0.875,0.875,1.0,0.0,0.14729372446820133,0.2092289862694976,0.5771952591396889,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.06562990301479554,0.044577417802454944,0.438410499293004,1306.T,simple,True,0.09273787692522303
2019-03-29,Residual_100_N12,added,JP4.T,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,JP,12,6,6,0.625,0.625,0.625,1.0,0.0,0.2937840170359771,0.20583321194289184,0.19580216673579054,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.21212019558257134,0.04118164347584918,0.057017406889105615,1306.T,simple,True,0.08332602373708357
2019-03-29,Residual_100_N12,added,JP6.T,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,JP,12,6,6,0.25,0.75,0.75,1.0,0.0,0.1136969830573038,0.3115037251541861,0.39010233056682897,0.08166382145340578,0.16465156846704265,0.13878475984668492,0.03203316160389802,0.14685215668714346,0.25131757072014405,1306.T,simple,True,0.07593513519752941
2019-03-29,Residual_100_N12,added,JP7.T,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,JP,12,6,6,0.375,0.375,0.375,1.0,0.0,-0.0420709501279809,0.11986524574910296,0.12314394998930611,0.08166382145340578,0.16465156846704265,0.13878475984668492,-0.12373477158138668,-0.0447863227179397,-0.015640809857378812,1306.T,simple,True,0.09066966225233675
2019-03-29,Residual_100_N12,added,US0,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,US,12,6,6,0.5,0.75,0.75,1.0,0.0,0.1596990738681816,0.0890847456007493,0.03007220140131106,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.18238061249169124,0.18010148279105676,0.10619576033256761,SPY,simple,True,0.08488819796589941
2019-03-29,Residual_100_N12,added,US1,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,US,12,6,6,0.375,0.375,0.375,1.0,0.0,-0.09627588422363598,0.09263198696465635,0.05281205679537293,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,-0.07359434560012634,0.1836487241549638,0.12893561572662948,SPY,simple,True,0.07728310147017173
2019-03-29,Residual_100_N12,added,US3,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,US,12,6,6,1.0,1.0,1.0,1.0,0.0,-0.09965104748495468,-0.022217507582465212,0.3740394337436117,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,-0.07696950886144505,0.06879922960784224,0.45016299267486826,SPY,simple,True,0.08307318378254823
2019-03-29,Residual_100_N12,added,US4,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,JP0.T;JP1.T;JP3.T;JP4.T;JP6.T;JP7.T;US0;US1;US3;US4;US6;US7,,2019-03-29,US,12,6,6,0.625,0.625,0.625,1.0,0.0,-0.012446737105199168,-0.09487848332945648,0.2080070323067491,-0.022681538623509634,-0.09101673719030745,-0.07612355893125655,0.010234801518310466,-0.003861746139149025,0.28413059123800566,SPY,simple,True,0.0851999816440747
